table_index,e_step,esa_v
0,646,2.92
0,647,0.78
0,648,1.51
0,649,5.64
0,650,21.13
0,651,79.1
0,652,296.14
0,653,1108.66
0,654,572.99
0,655,153.05
0,656,40.88
0,657,10.92
0,658,2.92
0,659,0.78
0,660,1.51
0,661,5.64
0,662,21.13
0,663,79.1
0,664,296.14
0,665,1108.66
0,666,572.99
0,667,153.05
0,668,40.88
0,669,10.92
0,670,2.92
0,671,0.78
0,672,1.51
0,673,5.64
0,674,21.13
0,675,79.1
0,676,296.14
0,677,1108.66
0,678,572.99
0,679,153.05
0,680,40.88
0,681,10.92
0,682,2.92
0,683,0.78
0,684,1.51
0,685,5.64
0,686,21.13
0,687,79.1
0,688,296.14
0,689,1108.66
0,690,572.99
0,691,153.05
0,692,40.88
0,693,10.92
0,694,2.92
0,695,0.78
0,696,1.51
0,697,5.64
0,698,21.13
0,699,79.1
0,700,296.14
0,701,1108.66
0,702,572.99
0,703,153.05
0,704,40.88
0,705,10.92
0,706,2.92
0,707,0.78
0,708,1.51
0,709,5.64
0,710,21.13
0,711,79.1
0,712,296.14
0,713,1108.66
0,714,572.99
0,715,153.05
0,716,40.88
0,717,10.92
0,718,2.92
0,719,0.78
1,0,40.88
1,1,40.88
1,2,40.88
1,3,40.88
1,4,40.88
1,5,40.88
1,6,40.88
1,7,40.88
1,8,40.88
1,9,40.88
1,10,40.88
1,11,40.88
1,12,40.88
1,13,40.88
1,14,40.88
1,15,40.88
1,16,40.88
1,17,40.88
1,18,40.88
1,19,40.88
1,20,40.88
1,21,40.88
1,22,40.88
1,23,40.88
1,24,40.88
1,25,40.88
1,26,40.88
1,27,40.88
1,28,40.88
1,29,40.88
1,30,40.88
1,31,40.88
1,32,40.88
1,33,40.88
1,34,40.88
1,35,40.88
1,36,40.88
1,37,40.88
1,38,40.88
1,39,40.88
1,40,40.88
1,41,40.88
1,42,40.88
1,43,40.88
1,44,40.88
1,45,40.88
1,46,40.88
1,47,40.88
1,48,40.88
1,49,40.88
1,50,40.88
1,51,40.88
1,52,40.88
1,53,40.88
1,54,40.88
1,55,40.88
1,56,40.88
1,57,40.88
1,58,40.88
1,59,40.88
1,60,40.88
1,61,40.88
1,62,40.88
1,63,40.88
1,64,40.88
1,65,40.88
1,66,40.88
1,67,40.88
1,68,40.88
1,69,40.88
1,70,40.88
1,71,40.88
1,72,40.88
1,73,40.88
1,74,40.88
1,75,40.88
1,76,40.88
1,77,40.88
1,78,40.88
1,79,40.88
1,80,40.88
1,81,40.88
1,82,40.88
1,83,40.88
1,84,40.88
1,85,40.88
1,86,40.88
1,87,40.88
1,88,40.88
1,89,40.88
1,90,40.88
1,91,40.88
1,92,40.88
1,93,40.88
1,94,40.88
1,95,40.88
1,96,40.88
1,97,40.88
1,98,40.88
1,99,40.88
1,100,40.88
1,101,40.88
1,102,40.88
1,103,40.88
1,104,40.88
1,105,40.88
1,106,40.88
1,107,40.88
1,108,40.88
1,109,40.88
1,110,40.88
1,111,40.88
1,112,40.88
1,113,40.88
1,114,40.88
1,115,40.88
1,116,40.88
1,117,40.88
1,118,40.88
1,119,40.88
1,120,40.88
1,121,40.88
1,122,40.88
1,123,40.88
1,124,40.88
1,125,40.88
1,126,40.88
1,127,40.88
1,128,40.88
1,129,40.88
1,130,40.88
1,131,40.88
1,132,40.88
1,133,40.88
1,134,40.88
1,135,40.88
1,136,40.88
1,137,40.88
1,138,40.88
1,139,40.88
1,140,40.88
1,141,40.88
1,142,40.88
1,143,40.88
1,144,40.88
1,145,40.88
1,146,40.88
1,147,40.88
1,148,40.88
1,149,40.88
1,150,40.88
1,151,40.88
1,152,40.88
1,153,40.88
1,154,40.88
1,155,40.88
1,156,40.88
1,157,40.88
1,158,40.88
1,159,40.88
1,160,40.88
1,161,40.88
1,162,40.88
1,163,40.88
1,164,40.88
1,165,40.88
1,166,40.88
1,167,40.88
1,168,40.88
1,169,40.88
1,170,40.88
1,171,40.88
1,172,40.88
1,173,40.88
1,174,40.88
1,175,40.88
1,176,40.88
1,177,40.88
1,178,40.88
1,179,40.88
1,180,40.88
1,181,40.88
1,182,40.88
1,183,40.88
1,184,40.88
1,185,40.88
1,186,40.88
1,187,40.88
1,188,40.88
1,189,40.88
1,190,40.88
1,191,40.88
1,192,40.88
1,193,40.88
1,194,40.88
1,195,40.88
1,196,40.88
1,197,40.88
1,198,40.88
1,199,40.88
1,200,40.88
1,201,40.88
1,202,40.88
1,203,40.88
1,204,40.88
1,205,40.88
1,206,40.88
1,207,40.88
1,208,40.88
1,209,40.88
1,210,40.88
1,211,40.88
1,212,40.88
1,213,40.88
1,214,40.88
1,215,40.88
1,216,40.88
1,217,40.88
1,218,40.88
1,219,40.88
1,220,40.88
1,221,40.88
1,222,40.88
1,223,40.88
1,224,40.88
1,225,40.88
1,226,40.88
1,227,40.88
1,228,40.88
1,229,40.88
1,230,40.88
1,231,40.88
1,232,40.88
1,233,40.88
1,234,40.88
1,235,40.88
1,236,40.88
1,237,40.88
1,238,40.88
1,239,40.88
1,240,40.88
1,241,40.88
1,242,40.88
1,243,40.88
1,244,40.88
1,245,40.88
1,246,40.88
1,247,40.88
1,248,40.88
1,249,40.88
1,250,40.88
1,251,40.88
1,252,40.88
1,253,40.88
1,254,40.88
1,255,40.88
1,256,40.88
1,257,40.88
1,258,40.88
1,259,40.88
1,260,40.88
1,261,40.88
1,262,40.88
1,263,40.88
1,264,40.88
1,265,40.88
1,266,40.88
1,267,40.88
1,268,40.88
1,269,40.88
1,270,40.88
1,271,40.88
1,272,40.88
1,273,40.88
1,274,40.88
1,275,40.88
1,276,40.88
1,277,40.88
