"Index_logical","Index_offset",XBkTp,YBkTp,XBkBt,YBkBt
-1838,209,1225,-4100,-6225,-4100
-1837,210,1225,-4100,-6225,-4100
-1836,211,1225,-4100,-6225,-4100
-1835,212,1225,-4100,-6225,-4100
-1834,213,1225,-4100,-6225,-4100
-1833,214,1225,-4100,-6225,-4100
-1832,215,1225,-4100,-6225,-4100
-1831,216,1225,-4100,-6225,-4100
-1830,217,1225,-4100,-6225,-4100
-1829,218,1225,-4100,-6225,-4100
-1828,219,1225,-4100,-6225,-4100
-1827,220,1225,-4100,-6225,-4100
-1826,221,1225,-4100,-6225,-4100
-1825,222,1225,-4100,-6225,-4100
-1824,223,1225,-4100,-6225,-4100
-1823,224,1225,-4100,-6225,-4100
-1822,225,1225,-4100,-6225,-4100
-1821,226,1225,-4100,-6225,-4100
-1820,227,1225,-4100,-6225,-4100
-1819,228,1225,-4100,-6225,-4100
-1818,229,1225,-4100,-6225,-4100
-1817,230,1225,-4100,-6225,-4100
-1816,231,1225,-4100,-6225,-4100
-1815,232,1225,-4100,-6225,-4100
-1814,233,1225,-4100,-6225,-4100
-1813,234,1225,-4100,-6225,-4100
-1812,235,1225,-4100,-6225,-4100
-1811,236,1225,-4100,-6225,-4100
-1810,237,1225,-4100,-6225,-4100
-1809,238,1225,-4100,-6225,-4100
-1808,239,1225,-4100,-6225,-4100
-1807,240,1225,-4100,-6225,-4100
-1806,241,1225,-4100,-6225,-4100
-1805,242,1225,-4100,-6225,-4100
-1804,243,1225,-4100,-6225,-4100
-1803,244,1225,-4100,-6225,-4100
-1802,245,1225,-4100,-6225,-4100
-1801,246,1225,-4100,-6225,-4100
-1800,247,1225,-4100,-6225,-4100
-1799,248,1225,-4100,-6225,-4100
-1798,249,1225,-4100,-6225,-4100
-1797,250,1225,-4100,-6225,-4100
-1796,251,1225,-4100,-6225,-4100
-1795,252,1225,-4100,-6225,-4100
-1794,253,1225,-4100,-6225,-4100
-1793,254,1225,-4100,-6225,-4100
-1792,255,1225,-4100,-6225,-4100
-1791,256,1225,-4100,-6225,-4100
-1790,257,1225,-4100,-6225,-4100
-1789,258,1225,-4100,-6225,-4100
-1788,259,1225,-4100,-6225,-4100
-1787,260,1225,-4100,-6225,-4100
-1786,261,1225,-4100,-6225,-4100
-1785,262,1225,-4100,-6225,-4100
-1784,263,1225,-4100,-6225,-4100
-1783,264,1225,-4100,-6225,-4100
-1782,265,1225,-4100,-6225,-4100
-1781,266,1225,-4100,-6225,-4100
-1780,267,1225,-4100,-6225,-4100
-1779,268,1225,-4100,-6225,-4100
-1778,269,1225,-4100,-6225,-4100
-1777,270,1225,-4100,-6225,-4100
-1776,271,1225,-4100,-6225,-4100
-1775,272,1225,-4100,-6225,-4100
-1774,273,1225,-4100,-6225,-4100
-1773,274,1225,-4100,-6225,-4100
-1772,275,1225,-4100,-6225,-4100
-1771,276,1225,-4100,-6225,-4100
-1770,277,1225,-4100,-6225,-4100
-1769,278,1225,-4100,-6225,-4100
-1768,279,1225,-4100,-6225,-4100
-1767,280,1225,-4100,-6225,-4100
-1766,281,1225,-4100,-6225,-4100
-1765,282,1225,-4100,-6225,-4100
-1764,283,1225,-4100,-6225,-4100
-1763,284,1225,-4100,-6225,-4100
-1762,285,1225,-4100,-6225,-4100
-1761,286,1225,-4100,-6225,-4100
-1760,287,1225,-4100,-6225,-4100
-1759,288,1225,-4100,-6225,-4100
-1758,289,1225,-4100,-6225,-4100
-1757,290,1225,-4100,-6225,-4100
