Energy,phi_degrees,theta_degrees,phi_motor_degrees,theta_motor_degrees,phi_fwhm,theta_fwhm
5.000000000000000000e+00,-4.882231442996787685e+00,2.592650760405440735e+01,0.000000000000000000e+00,2.800000000000000000e+01,7.958282091933052804e+00,1.281000704643225063e+01
5.000000000000000000e+00,-5.407003488040535544e+00,3.345530153683194641e+01,0.000000000000000000e+00,3.600000000000000000e+01,8.962588604290719019e+00,1.409125508442227925e+01
5.000000000000000000e+00,-5.923773224849205654e+00,4.147220321652487485e+01,0.000000000000000000e+00,4.400000000000000000e+01,9.963828090652405933e+00,1.395048043133292026e+01
5.000000000000000000e+00,-1.118867682753719350e+01,-4.355284314267959189e+01,9.400000000000000355e+00,-4.400000000000000000e+01,1.572555167309847057e+01,1.182414549771693224e+01
5.000000000000000000e+00,-1.060048593667065830e+01,-3.593802533557388301e+01,9.400000000000000355e+00,-3.600000000000000000e+01,1.339392007339384172e+01,1.129586987022711142e+01
5.000000000000000000e+00,-1.053039451556790418e+01,-2.844873131523025123e+01,9.400000000000000355e+00,-2.800000000000000000e+01,1.234083098413073820e+01,1.085075009131769086e+01
5.000000000000000000e+00,-1.033927674319729739e+01,-2.091924589826698266e+01,9.400000000000000355e+00,-2.000000000000000000e+01,1.181115960625866279e+01,1.070608729864115105e+01
5.000000000000000000e+00,-1.016459306048080435e+01,-1.320825149707569679e+01,9.400000000000000355e+00,-1.200000000000000000e+01,1.106930114989545721e+01,1.106937872130150069e+01
5.000000000000000000e+00,-1.003885210465236533e+01,-1.021853635275820160e+01,9.400000000000000355e+00,-9.000000000000000000e+00,1.126002267449485572e+01,1.058870693032112875e+01
5.000000000000000000e+00,-1.013866404508914520e+01,-7.534372879552805102e+00,9.400000000000000355e+00,-6.000000000000000000e+00,1.067087083976104545e+01,1.088964092487110058e+01
5.000000000000000000e+00,-1.006326170649692919e+01,-1.185662245971257134e+00,9.400000000000000355e+00,0.000000000000000000e+00,1.082818321253799176e+01,1.128128876958330196e+01
