Energy,phi_degrees,theta_degrees,phi_motor_degrees,theta_motor_degrees,phi_fwhm,theta_fwhm
1.000000000000000000e+01,5.364500162018894969e+01,-9.161415494630654521e+00,5.529999999999999716e+01,9.000000000000000000e+00,8.288816767844059186e+00,5.355892332447982795e+00
1.000000000000000000e+01,5.364017387088077271e+01,-1.225265686075017868e+01,5.529999999999999716e+01,1.200000000000000000e+01,8.483468397523736826e+00,5.207062823044081412e+00
1.000000000000000000e+01,5.333758275111198088e+01,-1.990043565949840243e+01,5.529999999999999716e+01,2.000000000000000000e+01,9.296489529495767457e+00,5.335459391825722264e+00
1.000000000000000000e+01,5.301777007183675039e+01,-2.809617888976013589e+01,5.529999999999999716e+01,2.800000000000000000e+01,1.090961822632666589e+01,5.872439237393498601e+00
1.000000000000000000e+01,5.214539172478551166e+01,-3.605782394471791719e+01,5.529999999999999716e+01,3.600000000000000000e+01,1.448332054601714880e+01,6.008398230749491198e+00
1.000000000000000000e+01,5.039699342450823139e+01,-4.395975231256298343e+01,5.529999999999999716e+01,4.400000000000000000e+01,1.898757906891523817e+01,6.885815017662567428e+00
2.000000000000000000e+01,1.129203090372721485e+00,4.371619512646346806e+01,0.000000000000000000e+00,-4.400000000000000000e+01,3.860511845167854172e+00,4.829739728412494770e+00
2.000000000000000000e+01,8.750673012184305710e-01,3.618766124446904797e+01,0.000000000000000000e+00,-3.600000000000000000e+01,3.777525597798483403e+00,4.736550927028469360e+00
2.000000000000000000e+01,7.697903684288810444e-01,2.847075986572284378e+01,0.000000000000000000e+00,-2.800000000000000000e+01,3.366233460705941205e+00,4.655265925732446242e+00
2.000000000000000000e+01,6.493206220871080570e-01,2.093726909735806530e+01,0.000000000000000000e+00,-2.000000000000000000e+01,2.790969695687033347e+00,5.014271987442034728e+00
2.000000000000000000e+01,4.804238358861050440e-01,1.296903759048204563e+01,0.000000000000000000e+00,-1.200000000000000000e+01,2.854342359659979955e+00,5.055614276610388202e+00
2.000000000000000000e+01,4.878995653656832965e-01,9.949338151965944732e+00,0.000000000000000000e+00,-9.000000000000000000e+00,2.652188238300070111e+00,4.758410204205920202e+00
2.000000000000000000e+01,4.082199202840312013e-01,6.810100425452218609e+00,0.000000000000000000e+00,-6.000000000000000000e+00,2.401215337263300498e+00,4.991181853722668649e+00
